,surgery,Age,Hospital Number,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion,type of lesion,type of lesion.1,type of lesion.2,cp_data
0,1.0,9.0,5290409.0,39.1,164.0,84.0,4.0,1.0,6.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,3.0,,48.0,7.2,3.0,5.3,2.0,1.0,2208.0,0.0,0.0,1.0
1,1.0,1.0,528548.0,38.1,66.0,12.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,44.0,6.0,2.0,3.6,1.0,1.0,2124.0,0.0,0.0,1.0
2,1.0,1.0,534917.0,38.2,76.0,28.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,46.0,81.0,1.0,2.0,1.0,1.0,2112.0,0.0,0.0,2.0
3,1.0,1.0,530526.0,38.3,72.0,30.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.9,3.0,5.0,43.0,7.0,2.0,3.9,1.0,1.0,3111.0,0.0,0.0,1.0
4,2.0,1.0,530242.0,37.2,108.0,12.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,,3.0,6.0,3.0,3.0,52.0,8.2,3.0,7.4,3.0,1.0,2207.0,0.0,0.0,1.0
5,1.0,1.0,528890.0,38.9,80.0,44.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,7.0,3.0,1.0,54.0,6.5,3.0,7.0,2.0,1.0,7111.0,0.0,0.0,2.0
6,2.0,1.0,529642.0,37.2,84.0,48.0,3.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,4.1,2.0,1.0,73.0,5.5,2.0,4.1,2.0,2.0,4300.0,0.0,0.0,1.0
7,2.0,1.0,529461.0,40.3,114.0,36.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,7.0,1.0,5.0,57.0,8.1,3.0,4.5,3.0,1.0,7400.0,0.0,0.0,1.0
8,1.0,1.0,529667.0,39.0,64.0,36.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,7.0,4.0,5.0,44.0,7.5,3.0,5.0,1.0,1.0,2113.0,0.0,0.0,1.0
9,2.0,1.0,534784.0,37.9,72.0,72.0,1.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,58.0,74.0,1.0,2.0,1.0,1.0,2322.0,0.0,0.0,2.0
10,1.0,1.0,528469.0,38.1,52.0,24.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,,54.0,7.5,2.0,2.6,2.0,1.0,2112.0,0.0,0.0,1.0
11,2.0,1.0,529703.0,39.0,64.0,40.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,2.3,3.0,3.0,42.0,7.5,2.0,2.3,1.0,2.0,5000.0,0.0,0.0,1.0
12,2.0,1.0,529461.0,40.3,114.0,36.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,7.0,1.0,5.0,57.0,8.1,3.0,4.5,2.0,1.0,3205.0,0.0,0.0,1.0
13,2.0,1.0,530002.0,39.6,108.0,51.0,3.0,3.0,6.0,2.0,2.0,4.0,3.0,1.0,2.0,2.6,3.0,5.0,59.0,8.0,2.0,2.6,1.0,2.0,4300.0,0.0,0.0,1.0
